Algorithm,Data,Clusters,Distances,Timeout
Kmeans,Breastcancer,3,4779,no
Kmeans-d,Breastcancer,3,2823,no
Ball-Kmeans,Breastcancer,3,3318,no
Kmeans,Breastcancer,6,12290,no
Kmeans-d,Breastcancer,6,5152,no
Ball-Kmeans,Breastcancer,6,6238,no
Kmeans,Breastcancer,12,28677,no
Kmeans-d,Breastcancer,12,9072,no
Ball-Kmeans,Breastcancer,12,11063,no
Kmeans,Breastcancer,24,86032,no
Kmeans-d,Breastcancer,24,18398,no
Ball-Kmeans,Breastcancer,24,23835,no
Kmeans,CreditRisk,3,29100,no
Kmeans-d,CreditRisk,3,11593,no
Ball-Kmeans,CreditRisk,3,14901,no
Kmeans,CreditRisk,6,84600,no
Kmeans-d,CreditRisk,6,20502,no
Ball-Kmeans,CreditRisk,6,29935,no
Kmeans,CreditRisk,12,202800,no
Kmeans-d,CreditRisk,12,29607,no
Ball-Kmeans,CreditRisk,12,37158,no
Kmeans,CreditRisk,24,475200,no
Kmeans-d,CreditRisk,24,50578,no
Ball-Kmeans,CreditRisk,24,54285,no
Kmeans,Census,3,3866480,no
Kmeans-d,Census,3,1407186,no
Ball-Kmeans,Census,3,4248497,no
Kmeans,Census,6,6457701,no
Kmeans-d,Census,6,1346151,no
Ball-Kmeans,Census,6,4509229,no
Kmeans,Census,12,17365248,no
Kmeans-d,Census,12,1998822,no
Ball-Kmeans,Census,12,7394168,no
Kmeans,Census,24,47537368,no
Kmeans-d,Census,24,3093131,no
Ball-Kmeans,Census,24,12934750,no
Kmeans,Crop,3,7224593,no
Kmeans-d,Crop,3,3170468,no
Ball-Kmeans,Crop,3,8266640,no
Kmeans,Crop,6,32558828,no
Kmeans-d,Crop,6,7180463,no
Ball-Kmeans,Crop,6,23506770,no
Kmeans,Crop,12,142565280,no
Kmeans-d,Crop,12,15648925,no
Ball-Kmeans,Crop,12,68095344,no
Kmeans,Crop,24,505528832,no
Kmeans-d,Crop,24,28524432,no
Ball-Kmeans,Crop,24,164678368,no
Kmeans,Twitter,3,58966572,no
Kmeans-d,Twitter,3,21270556,no
Ball-Kmeans,Twitter,3,23812666,no
Kmeans,Twitter,6,326853312,no
Kmeans-d,Twitter,6,58969016,no
Ball-Kmeans,Twitter,6,83568736,no
Kmeans,Twitter,12,2560234240,no
Kmeans-d,Twitter,12,222402208,no
Ball-Kmeans,Twitter,12,419586240,no
Kmeans,Twitter,24,8416997376,no
Kmeans-d,Twitter,24,367948800,no
Ball-Kmeans,Twitter,24,989714944,no
Kmeans,Birch,3,5520000,no
Kmeans-d,Birch,3,2080539,no
Ball-Kmeans,Birch,3,3871890,no
Kmeans,Birch,6,14040000,no
Kmeans-d,Birch,6,2885427,no
Ball-Kmeans,Birch,6,4861603,no
Kmeans,Birch,12,43200000,no
Kmeans-d,Birch,12,4750219,no
Ball-Kmeans,Birch,12,7053666,no
Kmeans,Birch,24,133920000,no
Kmeans-d,Birch,24,7956828,no
Ball-Kmeans,Birch,24,8771822,no
